park,summit,aspect,startyear,start.plantCover,start.meanCover,endyear,end.plantCover,end.meanCover,transition,change.cover,transNum,min.tmean,mean.tmean,max.tmean,sitelat,sitelong,siteelev,climPC1,climPC2,min.gdd,mean.gdd,max.gdd,min.snowdays,mean.snowdays,max.snowdays,min.aet,mean.aet,max.aet,min.pet,mean.pet,max.pet,min.gs.ppt,mean.gs.ppt,max.gs.ppt,min.wy.ppt,mean.wy.ppt,max.wy.ppt
GNP,BSN,W,2009,53.89999999999999,13.474999999999998,2014,59.809999999999995,14.9525,BSN2,5.910000000000004,2,10.566,13.0175,15.299,48.465154,-113.311013,2387,-0.20412488593730743,1.2382536319078592,198,207.33333333333337,220,207,222.66666666666663,230,1.1489300268159597,1.4402570051208643,1.5886981193289618,1.8430335281299777,2.0074185326113025,2.187435554190161,196.99999999999997,255.81833333333333,336.32,1028.0899999999997,1259.5833333333333,1444.9199999999998
GNP,BSN,W,2014,59.809999999999995,14.9525,2019,65.954,16.4885,BSN3,6.143999999999998,3,10.234,12.0275,13.712,48.465154,-113.311013,2387,-1.024479772765233,0.8420225219035092,189,217,245,183,211.16666666666663,227,0.8243588223405997,1.2759427054304966,1.6631396388479347,1.97558102200053,2.065766990395039,2.224369630639267,126.33,210.84333333333333,301.1700000000001,1025.4100000000003,1200.4066666666663,1316.3899999999994
GNP,DGL,E,2003,27.799999999999997,6.95,2009,30.9,10.3,DGL1,3.100000000000005,1,11.361,13.394571428571428,15.164,48.424453,-113.312034,2245,-0.00118798867851464,2.5386217762993684,202,218.1428571428571,244,192,206.1428571428571,232,0.9050623896996808,1.0828215829768817,1.2707996350167916,1.4056588628567772,1.52799570817289,1.649555226484712,151.75,237.25142857142853,328.73,950,1085.997142857143,1306.6399999999994
GNP,DGL,E,2009,30.9,10.3,2014,28.56,9.52,DGL2,-2.34,2,12.038,14.876000000000001,17.126,48.424453,-113.312034,2245,0.3976624296312342,2.949474621033376,199,211.16666666666663,225,205,217.66666666666663,226,1.069248242434429,1.2119205032515148,1.2722969717793966,1.3891616750544855,1.5180937450509964,1.6495344652128956,192.10999999999993,246.28166666666664,320.6199999999999,996.0100000000002,1202.0483333333334,1379.31
GNP,DGL,E,2014,28.56,9.52,2019,27.85,9.283333333333331,DGL3,-0.7100000000000009,3,12.304,14.001833333333334,16.21,48.424453,-113.312034,2245,-0.4706739723016702,3.0546701863219554,198,223.16666666666663,251,181,206.33333333333337,222,0.7146659461991638,1.0545022101664854,1.3160680629780637,1.4906022467878606,1.5517971081734734,1.666231796492072,120.05,206.23166666666668,294.06000000000006,974.44,1152.3516666666665,1255.6799999999998
GNP,DGL,N,2003,2.5,2.5,2009,1.5,0.75,DGL1,-1,1,11.17,12.706857142857142,14.561,48.424453,-113.312034,2245,-0.10940336142453254,2.182074462687319,202,218.1428571428571,244,192,206.1428571428571,232,0.9221424955211464,1.1074415130982604,1.3086903346145853,1.4583528108312251,1.5852756987020329,1.711392119903297,151.75,237.25142857142853,328.73,950,1085.997142857143,1306.6399999999994
GNP,DGL,N,2009,1.5,0.75,2014,2.9000000000000004,1.4500000000000002,DGL2,1.4000000000000004,2,11.853,14.247333333333334,16.375,48.424453,-113.312034,2245,0.2891425348414067,2.580511333655061,199,211.16666666666663,225,205,217.66666666666663,226,1.0845969792547914,1.2393686050060668,1.3086903346145853,1.441237192783339,1.5750025405886818,1.711370580353475,192.10999999999993,246.28166666666664,320.6199999999999,996.0100000000002,1202.0483333333334,1379.31
GNP,DGL,N,2014,2.9000000000000004,1.4500000000000002,2019,6.6499999999999995,2.2166666666666663,DGL3,3.749999999999999,3,11.642,13.473833333333333,15.714,48.424453,-113.312034,2245,-0.5521840176687766,2.6634154518514377,198,223.16666666666663,251,181,206.33333333333337,222,0.7261766323397832,1.079194851884994,1.356588468304736,1.5464804682527775,1.6099693420245846,1.728693844658783,120.05,206.23166666666668,294.06000000000006,974.44,1152.3516666666665,1255.6799999999998
GNP,DGL,S,2003,21.3,7.1,2009,15.2,7.6,DGL1,-6.100000000000001,1,13.417,15.119857142857143,16.975,48.424453,-113.312034,2245,-1.6397156109548388,2.745949333873843,202,218.1428571428571,244,192,206.1428571428571,232,1.0678571867866635,1.317985126221927,1.6327860841336264,1.9648592218344296,2.1358642110541988,2.305782636404796,151.75,237.25142857142853,328.73,950,1085.997142857143,1306.6399999999994
GNP,DGL,S,2009,15.2,7.6,2014,26.31,8.77,DGL2,11.11,2,13.211,16.837,19.163,48.424453,-113.312034,2245,-1.1448067909541273,3.112927686086214,199,211.16666666666663,225,205,217.66666666666663,226,1.1802976162908765,1.4601528914775086,1.6327860841336264,1.941799109282093,2.1220230408610443,2.305753615866838,192.10999999999993,246.28166666666664,320.6199999999999,996.0100000000002,1202.0483333333334,1379.31
GNP,DGL,S,2014,26.31,8.77,2019,28.82,9.606666666666666,DGL3,2.5100000000000016,3,15.384,16.232166666666668,16.819,48.424453,-113.312034,2245,-2.157876224841627,3.367644148848378,198,223.16666666666663,251,181,206.33333333333337,222,0.8145853207942579,1.2857520143608905,1.708951097934741,2.0835948522644263,2.169134303478097,2.3290934931377985,120.05,206.23166666666668,294.06000000000006,974.44,1152.3516666666665,1255.6799999999998
GNP,DGL,W,2003,10.9,2.725,2009,10.1,2.525,DGL1,-0.8000000000000007,1,11.806,13.257,15.161,48.424453,-113.312034,2245,-1.4023373816344582,1.8096985281427052,202,218.1428571428571,244,192,206.1428571428571,232,1.0601246607353862,1.3068824381183362,1.6163883505056678,1.935375638274499,2.1038146218319804,2.271183345892773,151.75,237.25142857142853,328.73,950,1085.997142857143,1306.6399999999994
GNP,DGL,W,2009,10.1,2.525,2014,9.81,2.4525,DGL2,-0.2900000000000009,2,12.53,14.969833333333334,17.221,48.424453,-113.312034,2245,-0.9703177340495582,2.321887262214201,199,211.16666666666663,225,205,217.66666666666663,226,1.1763621602017211,1.4493850296040964,1.6163883505056678,1.9126615529325517,2.0901811445327603,2.2711547608208504,192.10999999999993,246.28166666666664,320.6199999999999,996.0100000000002,1202.0483333333334,1379.31
GNP,DGL,W,2014,9.81,2.4525,2019,11.25,2.8125,DGL3,1.4400000000000013,3,12.041,13.941833333333333,16.16,48.424453,-113.312034,2245,-1.806243884261167,2.2272779568226704,198,223.16666666666663,251,181,206.33333333333337,222,0.8104008713971105,1.2751950234552742,1.689874134880363,2.052329587939573,2.1365854817718786,2.2941444128878112,120.05,206.23166666666668,294.06000000000006,974.44,1152.3516666666665,1255.6799999999998
GNP,PKN,E,2004,17.95,5.983333333333333,2009,47.900000000000006,15.966666666666669,PKN1,29.950000000000006,1,9.45,11.346499999999999,13.252,48.5191,-113.446469,2493,7.902794286577315,2.886199665109479,179,192.66666666666663,207,234,245,262,0.37303291350575174,0.4434765917561545,0.49192896027065014,0.38677971903706854,0.4651918792650569,0.5235235675350383,207.16000000000008,379.55333333333334,516.24,1649.4699999999991,1918.2466666666664,2235.57
GNP,PKN,E,2009,47.900000000000006,15.966666666666669,2014,59.8,19.933333333333337,PKN2,11.899999999999991,2,9.346,12.974166666666667,16.618,48.5191,-113.446469,2493,8.69542352925337,3.807935989804364,174,187.16666666666663,199,234,254.16666666666663,268,0.33556088495108816,0.42336703915976515,0.4792563945277776,0.35166233190867424,0.4391631871361667,0.5068549554244898,280.76,372.91666666666663,507.18999999999994,1649.4699999999991,2076.23,2365.8299999999995
GNP,PKN,E,2014,59.8,19.933333333333337,2019,69,23,PKN3,9.200000000000005,3,11.567,13.4325,16.287,48.5191,-113.446469,2493,6.700913121682254,3.995203640993601,174,197.5,225,219,241.16666666666663,259,0.4047575227903724,0.4421833730014349,0.4928544749063994,0.422913237930162,0.4834306866557627,0.5275974192061227,205.18999999999997,301.98999999999995,405.0799999999999,1661.7399999999989,1903.1833333333327,2086.2499999999995
GNP,PKN,N,2004,15.48,3.87,2009,12.909999999999997,3.227499999999999,PKN1,-2.570000000000004,1,7.637,8.578,9.691,48.5191,-113.446469,2493,5.773576119357464,-0.00109008493475599,179,192.66666666666663,207,234,245,262,0.8392704142342127,0.9784315384015652,1.115830402874523,0.999626541094721,1.2022816252434243,1.3530390225720796,207.16000000000008,379.55333333333334,516.24,1649.4699999999991,1918.2466666666664,2235.57
GNP,PKN,N,2009,12.909999999999997,3.227499999999999,2014,14.2,3.55,PKN2,1.2900000000000027,2,6.997,9.195333333333334,10.965,48.5191,-113.446469,2493,6.683103110110092,0.28148911460462067,174,187.16666666666663,199,234,254.16666666666663,268,0.7748500848444375,1.000152861744208,1.115830402874523,0.9088661663914218,1.1350108501707321,1.309959237751924,280.76,372.91666666666663,507.18999999999994,1649.4699999999991,2076.23,2365.8299999999995
GNP,PKN,N,2014,14.2,3.55,2019,15.159999999999998,3.79,PKN3,0.9599999999999992,3,7.863,9.316666666666666,11.59,48.5191,-113.446469,2493,4.874798620405993,0.4112408221232215,174,197.5,225,219,241.16666666666663,259,0.6841937195120683,0.9627505221916608,1.145119894998035,1.093013093519467,1.249419556857457,1.363567832782288,205.18999999999997,301.98999999999995,405.0799999999999,1661.7399999999989,1903.1833333333327,2086.2499999999995
GNP,PKN,S,2004,10.56,2.6399999999999997,2009,15.51,3.8775,PKN1,4.950000000000001,1,9.42,10.965,12.428,48.5191,-113.446469,2493,4.0744620521386885,0.3948556836957028,179,192.66666666666663,207,234,245,262,1.0575641874700936,1.272198362154679,1.528306439583781,1.4631618690286297,1.7597898390767708,1.9804547235882608,207.16000000000008,379.55333333333334,516.24,1649.4699999999991,1918.2466666666664,2235.57
GNP,PKN,S,2009,15.51,3.8775,2014,17.25,4.3125,PKN2,1.7400000000000002,2,8.671,12.263833333333332,14.421,48.5191,-113.446469,2493,4.957351394251451,0.9014014702308872,174,187.16666666666663,199,234,254.16666666666663,268,1.0115052155886584,1.3370086634603615,1.528306439583781,1.3303151367488046,1.6613250335319178,1.9173984761963287,280.76,372.91666666666663,507.18999999999994,1649.4699999999991,2076.23,2365.8299999999995
GNP,PKN,S,2014,17.25,4.3125,2019,21.1,5.275,PKN3,3.8500000000000014,3,9.936,12.281166666666667,14.767,48.5191,-113.446469,2493,3.2117319327062916,1.1135352409101469,174,197.5,225,219,241.16666666666663,259,0.7918300625622495,1.246744127368467,1.5789894272328822,1.5998525599723634,1.828786030441398,1.995865832629989,205.18999999999997,301.98999999999995,405.0799999999999,1661.7399999999989,1903.1833333333327,2086.2499999999995
GNP,PKN,W,2004,1.95,0.65,2009,1.1,0.3666666666666667,PKN1,-0.8500000000000001,1,8.099,9.808333333333334,11.805,48.5191,-113.446469,2493,4.07215615423795,-0.2539146286219412,179,192.66666666666663,207,234,245,262,1.069913470754918,1.2946771610291463,1.5620697069760263,1.5046106323702582,1.8096415431943196,2.0365574698970588,207.16000000000008,379.55333333333334,516.24,1649.4699999999991,1918.2466666666664,2235.57
GNP,PKN,W,2009,1.1,0.3666666666666667,2014,2.9000000000000004,0.7250000000000001,PKN2,1.8000000000000005,2,9.049,11.575666666666667,13.82,48.5191,-113.446469,2493,4.829100348047638,0.6575027020423868,174,187.16666666666663,199,234,254.16666666666663,268,1.029951560915891,1.3622384910940792,1.5620697069760263,1.3680005893566516,1.7083874055127444,1.9717149516005308,280.76,372.91666666666663,507.18999999999994,1649.4699999999991,2076.23,2365.8299999999995
GNP,PKN,W,2014,2.9000000000000004,0.7250000000000001,2019,4.1000000000000005,1.025,PKN3,1.2000000000000002,3,8.992,10.898166666666667,13.396,48.5191,-113.446469,2493,3.1967368806998326,0.3614761719895971,174,197.5,225,219,241.16666666666663,259,0.8000979646435498,1.2690899456482323,1.613567032409657,1.6451735265335106,1.880592273470793,2.0524051481421153,205.18999999999997,301.98999999999995,405.0799999999999,1661.7399999999989,1903.1833333333327,2086.2499999999995
GNP,SWD,E,2004,23.86,5.965,2009,37.413,9.35325,SWD1,13.552999999999995,1,9.782,11.2635,12.651,48.870238,-113.679656,2717,5.938202333530887,1.2546432953943327,169,183.5,199,237,247,263,0.6406077987750993,0.6971449830019631,0.78017662606886,0.7057874530893552,0.7922705722156345,0.8769045417463146,187.07000000000005,338.38166666666666,485.25,1306.91,1537.7716666666663,1660.8300000000002
GNP,SWD,E,2009,37.413,9.35325,2014,42.36,10.59,SWD2,4.947000000000003,2,9.121,12.2935,13.74,48.870238,-113.679656,2717,7.042948782208811,1.8424931768025872,169,179.5,192,237,255.83333333333337,274,0.583253286110038,0.7030671971454112,0.78017662606886,0.6283023106064026,0.7583351989501822,0.8804695303165264,276.6300000000001,358.37333333333333,508.7199999999998,1306.91,1688.9516666666668,1908.5700000000008
GNP,SWD,E,2014,42.36,10.59,2019,48.00000000000001,12,SWD3,5.640000000000008,3,11.461,13.0355,14.827,48.870238,-113.679656,2717,5.206389244081164,2.012104930756686,169,190.66666666666663,213,230,247.83333333333337,264,0.501778603729464,0.6826840973358964,0.7865200776252433,0.7412397922629805,0.8279669306625246,0.9096632283076626,127.45999999999998,268.50166666666667,396.04,1434.1199999999994,1560.9133333333327,1673.9399999999994
GNP,SWD,N,2004,18.411,4.60275,2009,38.01,9.5025,SWD1,19.598999999999997,1,7.301,8.826666666666666,10.078,48.870238,-113.679656,2717,6.264986635965171,-0.07632445759579662,169,183.5,199,237,247,263,0.6231303556537808,0.6782837534390762,0.7558824101666802,0.6821759175751269,0.7657658154778023,0.847568425555241,187.07000000000005,338.38166666666666,485.25,1306.91,1537.7716666666663,1660.8300000000002
GNP,SWD,N,2009,38.01,9.5025,2014,31.65,7.9125,SWD2,-6.359999999999999,2,7.833,10.329666666666666,12.793,48.870238,-113.679656,2717,7.27192806264922,1.1072505585401016,169,179.5,192,237,255.83333333333337,274,0.5651225745416782,0.681681561817741,0.7558824101666802,0.6072829764490459,0.7329657220583413,0.8510141503812974,276.6300000000001,358.37333333333333,508.7199999999998,1306.91,1688.9516666666668,1908.5700000000008
GNP,SWD,N,2014,31.65,7.9125,2019,29.299999999999997,7.324999999999999,SWD3,-2.3500000000000014,3,7.804,9.734166666666667,11.816,48.870238,-113.679656,2717,5.627373628443929,0.2131781699018112,169,190.66666666666663,213,230,247.83333333333337,264,0.4934267682468962,0.6637218086703711,0.7616024963388034,0.7164422280629256,0.8002679817758974,0.8792311973510926,127.45999999999998,268.50166666666667,396.04,1434.1199999999994,1560.9133333333327,1673.9399999999994
GNP,SWD,S,2004,6.949999999999999,3.4749999999999996,2009,7.301,3.6505,SWD1,0.35100000000000087,1,8.712,10.249,11.98,48.870238,-113.679656,2717,3.542125659084681,-0.7015017912965347,169,183.5,199,237,247,263,0.9553009530808664,1.2285405605561033,1.5098535930280488,1.507039187655688,1.6917030677282308,1.8724185340223656,187.07000000000005,338.38166666666666,485.25,1306.91,1537.7716666666663,1660.8300000000002
GNP,SWD,S,2009,7.301,3.6505,2014,6.6000000000000005,3.3000000000000003,SWD2,-0.7009999999999996,2,8.701,11.943833333333334,14.726,48.870238,-113.679656,2717,4.339572407647409,0.2412611167617149,169,179.5,192,237,255.83333333333337,274,1.12614222017929,1.3126248669728866,1.5098535930280488,1.3415883204409798,1.6192422480651687,1.8800307088426136,276.6300000000001,358.37333333333333,508.7199999999998,1306.91,1688.9516666666668,1908.5700000000008
GNP,SWD,S,2014,6.6000000000000005,3.3000000000000003,2019,6.499999999999999,2.1666666666666665,SWD3,-0.10000000000000142,3,7.863,10.113833333333334,12.28,48.870238,-113.679656,2717,3.11398314657701,-1.0428415590500268,169,190.66666666666663,213,230,247.83333333333337,264,0.6902249847345965,1.1956737902817391,1.5304827995257684,1.582739122805924,1.767924047288853,1.9423668225162825,127.45999999999998,268.50166666666667,396.04,1434.1199999999994,1560.9133333333327,1673.9399999999994
GSD,HUK,E,2009,42.14999999999999,21.074999999999996,2015,81.5,20.375,HUK1,39.35000000000001,1,16.086,17.663714285714285,19.308,37.89615,-105.473733,3550,-2.43973232715747,5.103995132117496,213,224.57142857142856,246,176,193,208,1.0027499442257342,1.202274662519301,1.3175998755755431,1.3701666026253747,1.486092665664973,1.540823580741746,150.10999999999996,200.52857142857144,273.16,563.1100000000005,717.9357142857144,788.0600000000002
GSD,HUK,E,2015,81.5,20.375,2020,42.73,10.6825,HUK2,-38.77,2,17.258,18.855333333333334,20.372,37.89615,-105.473733,3550,-3.184816615871189,5.235321579009631,207,231.83333333333337,250,149,189.33333333333337,229,1.190018183485029,1.2442065242139204,1.3175998755755431,1.4507922800091408,1.485665061611033,1.5410492205597364,127.56000000000002,185.00333333333336,240.73,377.44999999999976,681.6133333333332,837.59
GSD,HUK,N,2009,58.2,29.1,2015,192,48,HUK1,133.8,1,10.457,11.926285714285715,12.698,37.89615,-105.473733,3550,-3.137009418277807,1.0825889359431538,213,224.57142857142856,246,176,193,208,1.1377916421399057,1.4220978675268552,1.6194537907543791,1.8603582327135193,2.0177580739799383,2.09206955424221,150.10999999999996,200.52857142857144,273.16,563.1100000000005,717.9357142857144,788.0600000000002
GSD,HUK,N,2015,192,48,2020,123.25,30.8125,HUK2,-68.74999999999999,2,11.516,12.535499999999999,14.357,37.89615,-105.473733,3550,-3.897130023934016,1.1632263889478034,207,231.83333333333337,250,149,189.33333333333337,229,1.3379704539477864,1.472810455994382,1.6194537907543791,1.9698286010625896,2.0171774900417776,2.0923759190975657,127.56000000000002,185.00333333333336,240.73,377.44999999999976,681.6133333333332,837.59
GSD,HUK,S,2009,59,29.5,2015,156,39,HUK1,97,1,14.325,15.545,17.005,37.89615,-105.473733,3550,-4.69001477521935,2.5967301133382117,213,224.57142857142856,246,176,193,208,1.2281383050478942,1.5649811981568793,1.8450858898285656,2.408499907412029,2.612276522286835,2.70848336577755,150.10999999999996,200.52857142857144,273.16,563.1100000000005,717.9357142857144,788.0600000000002
GSD,HUK,S,2015,156,39,2020,97.22,24.305,HUK2,-58.78,2,15.026,16.398333333333333,18.254,37.89615,-105.473733,3550,-5.347356876098768,2.6495838841152946,207,231.83333333333337,250,149,189.33333333333337,229,1.3680810002975474,1.5982146846978178,1.8074088620630513,2.550224961972366,2.611524873310463,2.7088799989166863,127.56000000000002,185.00333333333336,240.73,377.44999999999976,681.6133333333332,837.59
GSD,HUK,W,2009,85.35,42.675,2015,247.5,61.875,HUK1,162.15,1,10.029,11.064857142857143,12.003,37.89615,-105.473733,3550,-4.455688266940534,-0.04836672678253115,213,224.57142857142856,246,176,193,208,1.238879098239785,1.5831966082614384,1.8847877723429616,2.5020191896493893,2.713708216188071,2.813650660797925,150.10999999999996,200.52857142857144,273.16,563.1100000000005,717.9357142857144,788.0600000000002
GSD,HUK,W,2015,247.5,61.875,2020,121.37000000000002,30.3425,HUK2,-126.12999999999998,2,10.238,11.2485,12.612,37.89615,-105.473733,3550,-5.041440157663827,-0.3164564490926748,207,231.83333333333337,250,149,189.33333333333337,229,1.37038390713343,1.6139184947419678,1.831378757810009,2.6492472651302355,2.712927381546153,2.814062694745825,127.56000000000002,185.00333333333336,240.73,377.44999999999976,681.6133333333332,837.59
GSD,MUD,E,2009,87.5,43.75,2015,260,65,MUD1,172.5,1,12.621,14.104571428571429,15.763,37.887517,-105.47665,3700,-2.531230434549838,2.453025505024797,206,220,246,184,198.28571428571428,213,1.100071933324059,1.3534176443651116,1.5235393095672178,1.664482112647894,1.8066669328397007,1.873348038410709,153.86,204.55428571428573,277.46,588.5499999999998,743.8399999999998,821.6599999999995
GSD,MUD,E,2015,260,65,2020,136.46,34.115,MUD2,-123.54,2,13.447,14.413833333333333,15.927,37.887517,-105.47665,3700,-3.254509161605685,2.094625202563597,203,226.5,243,157,195.16666666666663,233,1.3306457242150695,1.4077594074638131,1.5235393095672178,1.7629334812621211,1.8069477484549572,1.87596076256463,127.67,187.47166666666664,244.39000000000007,390.02,703.3066666666666,867.7900000000006
GSD,MUD,N,2009,49.55,24.775,2015,95.5,23.875,MUD1,45.95,1,9.264,9.991,10.842,37.887517,-105.47665,3700,-2.5959947599274646,-0.06433923513469877,206,220,246,184,198.28571428571428,213,1.1409585162234757,1.423488492162667,1.609195390715453,1.8409232287123147,1.9981801534172496,2.0719296970315133,153.86,204.55428571428573,277.46,588.5499999999998,743.8399999999998,821.6599999999995
GSD,MUD,N,2015,95.5,23.875,2020,67.33,16.8325,MUD2,-28.17,2,9.572,10.360166666666666,12.098,37.887517,-105.47665,3700,-3.289082313680148,-0.3115879078611001,203,226.5,243,157,195.16666666666663,233,1.3640508884321512,1.4743094376808952,1.609195390715453,1.949810798006843,1.998490736502032,2.074819379382932,127.67,187.47166666666664,244.39000000000007,390.02,703.3066666666666,867.7900000000006
GSD,MUD,S,2009,65.65,32.825,2015,179,44.75,MUD1,113.35,1,10.698,11.728142857142858,12.776,37.887517,-105.47665,3700,-3.821439946790964,0.2781800594092567,206,220,246,184,198.28571428571428,213,1.2267466550725248,1.5618306071680172,1.809943959841435,2.3342119821729534,2.5336070423258352,2.627118311942773,153.86,204.55428571428573,277.46,588.5499999999998,743.8399999999998,821.6599999999995
GSD,MUD,S,2015,179,44.75,2020,106.02,26.505000000000003,MUD2,-72.97999999999999,2,11.267,12.361833333333333,14.126,37.887517,-105.47665,3700,-4.473531551957429,0.19627656900824456,203,226.5,243,157,195.16666666666663,233,1.3971219061129303,1.597008981978593,1.788845790896235,2.4722767667293195,2.5340008484045744,2.630782305673828,127.67,187.47166666666664,244.39000000000007,390.02,703.3066666666666,867.7900000000006
GSD,MUD,W,2009,78.35000000000001,39.175,2015,163.5,40.875,MUD1,85.14999999999999,1,9.51,10.667571428571428,11.376,37.887517,-105.47665,3700,-3.824059830839398,-0.45596083890513,206,220,246,184,198.28571428571428,213,1.2346575980484689,1.573934979033666,1.833878660415554,2.3888765243319923,2.592941185941501,2.688642381229012,153.86,204.55428571428573,277.46,588.5499999999998,743.8399999999998,821.6599999999995
GSD,MUD,W,2015,163.5,40.875,2020,129.00000000000003,32.25,MUD2,-34.49999999999997,2,10.235,11.268166666666666,13.197,37.887517,-105.47665,3700,-4.476719830927576,-0.4261626913938162,203,226.5,243,157,195.16666666666663,233,1.3988199628388065,1.6071186667713693,1.8050274723159867,2.5301746262964175,2.5933442145026704,2.6923921814512135,127.67,187.47166666666664,244.39000000000007,390.02,703.3066666666666,867.7900000000006
GSD,PAD,E,2009,125.59999999999998,62.79999999999999,2015,331.902,82.9755,PAD1,206.302,1,11.745,12.823285714285714,13.596,37.87965,-105.478217,3870,-2.9952683477936866,1.0485727626373136,201,216.8571428571429,243,186,200.57142857142856,215,1.1749879151816898,1.4802593097784649,1.6717009235929663,1.999050685150348,2.1698690731577828,2.2499918366616107,155.57999999999998,206.39714285714285,279.47,600.2600000000002,755.972857142857,837.7299999999998
