(Intercept),climPC1,climPC2,habit,latmean1090,I(latmean1090^2),leaves,perenneating,sitelat,startcover,climPC1:habit,climPC1:latmean1090,climPC1:I(latmean1090^2),climPC1:leaves,climPC1:perenneating,climPC1:startcover,climPC2:habit,climPC2:latmean1090,climPC2:I(latmean1090^2),climPC2:leaves,climPC2:perenneating,climPC2:startcover,habit:sitelat,latmean1090:sitelat,latmean1090:startcover,I(latmean1090^2):sitelat,I(latmean1090^2):startcover,leaves:sitelat,perenneating:sitelat,sitelat:startcover,df,logLik,AICc,delta,weight
1.26827813884739,0.0298050765461337,-0.0134644624716689,+,0.145868407653746,-0.127883908215632,NA,+,0.146261706351153,2.59872110608123,+,NA,NA,NA,NA,-0.141926526244933,NA,NA,NA,NA,+,NA,+,NA,0.550481938458194,NA,-0.418430179172457,NA,NA,0.413077609368737,32,-5988.54127836838,12041.7268520388,0,0.0327607820184
1.24802484979146,0.0489593805025139,-0.00861176331408647,+,0.139876334052312,-0.107456715810244,NA,+,0.149343044446044,2.60077712698207,+,NA,-0.0245350355515913,NA,NA,-0.142686931435154,NA,NA,NA,NA,+,NA,+,NA,0.552641785895113,NA,-0.420448397744455,NA,NA,0.412511670051161,33,-5987.92604467932,12042.5368620166,0.810009977776645,0.0218505729015222
1.28754499515228,0.0433343080476985,0.00621193187551515,+,0.15621773592198,-0.132636176619092,NA,+,0.0864525703344583,2.59996100265436,+,NA,NA,NA,NA,-0.140901077775537,NA,NA,NA,NA,+,NA,NA,NA,0.55220919770712,NA,-0.419333126801027,NA,+,0.411990982936148,32,-5989.01205355936,12042.6684024207,0.941550381949128,0.0204596967510315
1.30723091302002,-0.037707554974114,-1.2898522803591e-4,+,0.14624234753798,-0.128306372668746,NA,+,0.145313098269415,2.60007358731349,+,NA,NA,NA,+,-0.139753088020976,NA,NA,NA,NA,NA,NA,+,NA,0.55189325324093,NA,-0.418749756564648,NA,NA,0.413104045967456,31,-5990.12661516145,12042.858292842,1.13144080319398,0.0186065138842034
1.27551268187105,-0.0196900060336952,0.00251011595558492,+,0.13436741166952,-0.0991722659219206,NA,+,0.169659627847396,2.60542784497613,NA,NA,-0.0360957190528703,NA,+,-0.14491710731593,NA,NA,NA,NA,NA,NA,+,NA,0.555773306349778,NA,-0.422538427715994,NA,NA,0.415032995757675,30,-5991.17451019083,12042.9160935524,1.18924151361534,0.0180764750702532
1.27326800237397,0.0255865416138694,-0.0126043834649661,+,0.152385831637874,-0.121878747733799,NA,+,0.146750520237526,2.59984265268833,+,-0.0305339510998186,NA,NA,NA,-0.141116556672869,NA,NA,NA,NA,+,NA,+,NA,0.552216565688538,NA,-0.419492675301682,NA,NA,0.412728230043153,33,-5988.1913944727,12043.0675616033,1.34070956453616,0.0167580266683055
1.25994643988877,0.0312619560861048,-0.0125085345862305,+,0.148362170037805,-0.122274865393049,NA,+,0.156465769102946,2.60190737779847,+,NA,NA,NA,NA,-0.143763193679314,NA,NA,NA,NA,+,NA,+,NA,0.550657315857595,-0.0153633629480314,-0.419173899240517,NA,NA,0.41578820314241,33,-5988.31700759631,12043.3187878505,1.59193581177169,0.0147798419794341
1.27277889490294,0.0305647894077668,-0.0164344702615513,+,0.143962142906039,-0.126473224130198,NA,+,0.148013307809407,2.60143452673243,+,NA,NA,NA,NA,-0.125834320708924,NA,NA,NA,NA,+,0.0266613248369014,+,NA,0.5447617182805,NA,-0.41358970103584,NA,NA,0.39988773718772,33,-5988.33438251341,12043.3535376847,1.62668564596424,0.0145252615121302
1.27047153020563,0.0295653164462892,-0.0114206047410754,+,0.150065676612339,-0.124490333942973,NA,+,0.143627975808718,2.60085040418258,+,NA,NA,NA,NA,-0.143512243497893,NA,NA,NA,NA,+,NA,+,-0.0237440845262607,0.549880287603403,NA,-0.418511985204362,NA,NA,0.416051664515448,33,-5988.33689274368,12043.3585581453,1.63170610649649,0.0144888454864862
1.26945799039929,0.0236511805895758,-0.0160947745881187,+,0.145120148866195,-0.127462506249314,NA,+,0.152896061441731,2.59947103714324,+,NA,NA,NA,NA,-0.142122230168655,+,NA,NA,NA,+,NA,+,NA,0.551220900060749,NA,-0.418353118099247,NA,NA,0.414397838254228,33,-5988.40163731291,12043.4880472837,1.76119524496062,0.0135804941203398
