(Intercept),habit,latmean1090,I(latmean1090^2),max.tmean,min.gdd,min.gs.ppt,min.wy.ppt,perenneating,sitelat,startcover,habit:max.tmean,habit:min.gdd,habit:min.gs.ppt,habit:min.wy.ppt,habit:sitelat,latmean1090:startcover,I(latmean1090^2):startcover,max.tmean:perenneating,max.tmean:startcover,min.gdd:perenneating,min.gdd:startcover,min.gs.ppt:perenneating,min.gs.ppt:startcover,min.wy.ppt:perenneating,min.wy.ppt:startcover,sitelat:startcover,df,logLik,AICc,delta,weight
1.2953177730540186,+,0.0562092422341814,-0.05095727764986969,-0.024612290859025405,0.27861665929728635,-0.22122375269642172,0.6225704250623205,+,-0.37898890403916735,2.488314054511403,+,+,NA,NA,+,0.39615261660820883,-0.21877500856833146,+,-0.05109772701116531,NA,0.5929010430309852,NA,-0.5377706763672222,NA,1.0468274431596358,-0.5584924797008662,47,-5772.592636569763,11640.56804972549,0,0.0539468617918058
1.2987868812715209,+,0.0577065902618373,-0.052281882219499955,-0.019395330823297433,0.2746822847697903,-0.22091432417685747,0.6172826296556789,+,-0.3748962136667662,2.5029014209297644,+,+,NA,NA,+,0.4037605469838737,-0.22428953347322372,+,NA,NA,0.575915375205559,NA,-0.5409076952655703,NA,1.0541547518897099,-0.5753663247667089,46,-5773.963758983253,11641.252272868467,0.684223142976407,0.0383167811247138
1.3009090569944157,+,0.06418907263664633,-0.05337647020731845,-0.030709991166033037,0.29636911366884106,-0.22264524843827743,0.6186893854503378,+,-0.37376159443574114,2.5049336516299716,NA,+,NA,NA,+,0.40468137322645387,-0.22480618547819156,+,NA,NA,0.578366135784322,NA,-0.5403060613422584,NA,1.0580951509352055,-0.5775376289778272,45,-5775.05691802068,11641.381829915787,0.8137801902958017,0.0359133619725585
1.314817602246949,+,0.05586258766383635,-0.04883862181967503,-0.03224705820353274,0.29754435986031175,-0.22304990340142836,0.5636225940341423,+,-0.3766787268262384,2.484149626904497,NA,+,NA,NA,+,0.39270843405057737,-0.21468872892839638,+,-0.057334646405456546,NA,0.6035126783882989,NA,-0.5404851032033708,+,1.0637438540359219,-0.5683464727042279,48,-5772.146980602279,11641.736021290395,1.1679715649042919,0.0300846098019225
1.2986442563908343,+,0.06851078432924598,-0.05625650902036248,-0.016317444921413054,0.29032082463237474,-0.22170822415257185,0.6588229565647067,+,-0.42646378226157844,2.4869793038559846,+,+,NA,+,NA,0.3956363423831061,-0.21837983690394086,+,-0.05045616066896973,NA,0.5931865055978147,NA,-0.5355488920201578,NA,1.0515560709770078,-0.564571631711298,47,-5773.429539815726,11642.241856217415,1.6738064919245517,0.0233616613583476
1.3006252151632856,+,0.07655725147612097,-0.05790412722416095,-0.026851442203734074,0.3123286808089183,-0.22337597439017817,0.660626026128984,+,-0.42732997954425395,2.487803555218652,NA,+,NA,+,NA,0.39621298929684134,-0.2185064395414913,+,-0.05410050239899019,NA,0.5967588978801878,NA,-0.5348063231675322,NA,1.0551891329369536,-0.5657654645720717,46,-5774.550078919073,11642.424912740107,1.856863014616465,0.0213183459430078
1.2951912155340215,+,0.05446355912616402,-0.049930174918625427,-0.02639573609006545,0.27635279409712826,-0.2208703634643384,0.6152645722465319,+,-0.3725765239350944,2.4850818279240583,+,+,NA,+,+,0.39347885781071823,-0.2156352798688438,+,-0.05286233084266341,NA,0.5993082438512701,NA,-0.5405955717305698,NA,1.0599186392385709,-0.5677948116704754,49,-5771.475126382549,11642.452859327503,1.8848096020119556,0.0210225300086898
1.3021046601483999,+,0.06977532997313779,-0.05745884983772319,-0.011512052526305489,0.2857792141962864,-0.22139598500388882,0.6515197683776441,+,-0.4204015223616252,2.5013829288720824,+,+,NA,+,NA,0.4032591742933163,-0.2238369386072836,+,NA,NA,0.5763906461818473,NA,-0.5387639769432409,NA,1.0586669672714761,-0.5811729361825883,46,-5774.762890202654,11642.850535307269,2.282485581778019,0.0172318037266155
1.3025145588134752,+,0.05962411560217826,-0.05378885849929001,-0.06523245128854334,0.3566054753575401,-0.21913920370038015,0.6152351066368573,+,-0.3743130474424849,2.503676728583399,+,+,NA,NA,+,0.4052547758165721,-0.22568639545348915,+,NA,+,0.5738796516673996,NA,-0.5400748520034491,NA,1.0523136358542633,-0.5746828904106813,47,-5773.756199167397,11642.895174920759,2.3271251952683087,0.0168514536574911
1.3157224880750296,+,0.05210366135918442,-0.049511933329828735,-0.01765287539795541,0.27446967134155975,-0.22117166283993503,0.5605596952604334,+,-0.373428054046444,2.4987992881198005,+,+,NA,NA,+,0.40058122291786114,-0.22059998491490213,+,NA,NA,0.5817091529168393,NA,-0.544304505844518,+,1.0673580833913519,-0.584676946626888,48,-5772.788627785741,11643.019315657319,2.4512659318279475,0.0158372784289773
